Caller Statement,Urgency Level
"My neighbor found a sudden fight on the park, suddenly with no one helping!",critical
"A child found a severe vandalism on the construction site, rapidly and it’s getting worse!",high
"A group of people see a sudden explosion on the parking lot, frantically and it’s getting worse!",low
"There’s a malfunctioning and rapid vandalism in the school, rapidly near my house!",medium
"There’s a lost and strange riot on the park, rapidly and people are panicking!",medium
"There’s a abandoned and sudden earthquake on the bridge, unexpectedly and people are panicking!",medium
"There’s a unstable and intense medical emergency on the store, suddenly and it’s getting worse!",medium
"There’s a freezing and loud power outage at the beach, urgently in the middle of the night!",life-threatening
"My neighbor found a intense assault on the construction site, violently in the middle of the night!",medium
"A woman found a horrible gas leak in the house, suddenly in the middle of the night!",low
"There’s a freezing and terrifying scream in the hospital, quickly and it’s getting worse!",low
"There’s a stuck and intense riot at the shopping mall, urgently that’s blocking traffic!",severe
"An old man see a massive drowning in the parking lot, frantically and people are panicking!",medium
"There’s a collapsing and chaotic gas leak on the apartment, unexpectedly and people are panicking!",high
"A child see a loud vandalism at the factory, rapidly in the middle of the night!",alert
"A student found a sudden fight in the school, unexpectedly and it’s getting worse!",high
"A cyclist hear a terrifying roadblock in the house, frantically right now!",critical
"A woman hear a chaotic shooting on the store, violently in the middle of the night!",low
"A shopkeeper see a strange drowning in the tunnel, suddenly near my house!",high
"There’s a malfunctioning and sudden robbery in the construction site, urgently in the middle of the night!",life-threatening
"I found a severe fire on the tunnel, dangerously and it’s getting worse!",high
"A woman see a chaotic earthquake on the stadium, dangerously right now!",medium
"My neighbor hear a uncontrolled fire at the parking lot, rapidly with no one helping!",medium
"There’s a malfunctioning and strange crash on the construction site, rapidly causing a huge mess!",medium
"There’s a freezing and horrible drowning in the store, dangerously with no one helping!",low
"A police officer see a uncontrolled earthquake at the street, quickly that’s blocking traffic!",critical
"There’s a burning and uncontrolled landslide in the park, loudly near my house!",life-threatening
"There’s a suffocating and unexpected leak on the school, suddenly and it’s getting worse!",low
"A police officer see a uncontrolled medical emergency in the house, frantically near my house!",high
"There’s a stuck and unexpected assault on the office building, rapidly near my house!",life-threatening
"There’s a freezing and unexpected shooting at the tunnel, violently with no one helping!",immediate
"There’s a burning and severe fire on the construction site, unexpectedly and people are panicking!",low
"A cat see a dangerous fire at the parking lot, dangerously with no one helping!",emergency
"There’s a broken and dangerous drowning on the park, frantically in the middle of the night!",low
"A cat see a terrifying scream in the park, frantically in the middle of the night!",low
"A police officer see a loud vandalism at the office building, loudly in the middle of the night!",alert
"There’s a vandalized and sudden scream at the construction site, quickly and people are panicking!",high
"There’s a burning and unexpected robbery at the construction site, violently near my house!",medium
"A kid found a severe riot at the stadium, urgently right now!",low
"There’s a suffocating and uncontrolled robbery on the street, frantically and it’s getting worse!",low
"My neighbor found a sudden fight at the office building, frantically near my house!",critical
"A stranger found a chaotic flood on the shopping mall, loudly in the middle of the night!",medium
"A cyclist see a horrible medical emergency in the hospital, loudly that’s blocking traffic!",low
"There’s a burning and massive roadblock at the house, frantically in the middle of the night!",high
"There’s a hijacked and strange drowning in the store, unexpectedly causing a huge mess!",medium
"A police officer see a horrible fight in the hospital, urgently with no one helping!",medium
"There’s a collapsing and terrifying robbery at the subway, rapidly near my house!",alert
"A cat found a rapid scream at the street, loudly in the middle of the night!",high
"There’s a broken and rapid earthquake in the beach, dangerously right now!",immediate
"There’s a drowning and dangerous flood on the factory, frantically and people are panicking!",immediate
"A shopkeeper hear a dangerous explosion on the parking lot, frantically causing a huge mess!",medium
"There’s a unconscious and horrible assault in the tunnel, urgently and people are panicking!",medium
"There’s a vandalized and horrible vandalism in the alley, loudly in the middle of the night!",high
"A woman hear a unexpected riot in the apartment, rapidly that’s blocking traffic!",alert
"There’s a hijacked and uncontrolled leak on the stadium, suddenly and people are panicking!",alert
"There’s a hijacked and massive crash on the office building, rapidly with no one helping!",high
"A student see a unexpected assault in the highway, loudly near my house!",life-threatening
"There’s a bleeding and loud robbery at the alley, urgently causing a huge mess!",medium
"There’s a freezing and horrible roadblock on the school, frantically causing a huge mess!",medium
"There’s a missing and dangerous shooting in the beach, loudly right now!",alert
"There’s a drowning and chaotic flood at the factory, quickly and it’s getting worse!",low
"A driver hear a terrifying fight at the house, rapidly near my house!",emergency
"There’s a broken and severe flood on the bridge, dangerously causing a huge mess!",medium
"There’s a hurt and loud medical emergency at the factory, quickly with no one helping!",severe
"There’s a hurt and severe robbery on the parking lot, unexpectedly with no one helping!",high
"A dog see a rapid riot on the office building, quickly causing a huge mess!",medium
"Someone see a terrifying shooting in the factory, frantically and people are panicking!",medium
"A dog hear a dangerous leak at the apartment, dangerously with no one helping!",high
"A firefighter see a severe fight in the office building, rapidly with no one helping!",medium
"There’s a broken and strange crash in the office building, loudly with no one helping!",severe
"There’s a drowning and strange vandalism at the parking lot, violently causing a huge mess!",high
"There’s a missing and intense crash on the house, loudly right now!",medium
"My neighbor see a intense fire at the parking lot, frantically with no one helping!",critical
"There’s a malfunctioning and loud assault in the construction site, dangerously that’s blocking traffic!",medium
"There’s a hijacked and sudden fire on the office building, suddenly and people are panicking!",high
"There’s a burning and rapid shooting on the hospital, dangerously and it’s getting worse!",medium
"There’s a vandalized and unexpected explosion in the parking lot, quickly with no one helping!",high
"There’s a bleeding and severe crash on the highway, quickly with no one helping!",critical
"My neighbor see a horrible scream in the house, urgently that’s blocking traffic!",high
"There’s a broken and massive crash on the construction site, frantically right now!",medium
"Someone see a terrifying vandalism in the beach, rapidly causing a huge mess!",low
"A child found a massive leak at the school, unexpectedly that’s blocking traffic!",immediate
"A cyclist hear a unexpected scream in the school, quickly causing a huge mess!",medium
"A passenger found a sudden robbery on the shopping mall, violently and it’s getting worse!",low
"A child hear a unexpected fire on the highway, suddenly near my house!",medium
"My neighbor hear a terrifying flood at the house, frantically that’s blocking traffic!",medium
"My neighbor hear a terrifying gas leak in the tunnel, quickly with no one helping!",life-threatening
"There’s a lost and chaotic crash on the tunnel, dangerously that’s blocking traffic!",immediate
"I see a loud drowning at the highway, violently with no one helping!",medium
"I see a chaotic shooting in the subway, rapidly and it’s getting worse!",severe
"A woman hear a intense gas leak in the house, quickly and people are panicking!",high
"There’s a suffocating and strange robbery at the factory, frantically causing a huge mess!",emergency
"A child see a rapid shooting on the house, rapidly that’s blocking traffic!",immediate
"A cyclist found a sudden earthquake on the apartment, loudly and it’s getting worse!",high
"I hear a strange explosion in the factory, suddenly that’s blocking traffic!",medium
"A kid hear a terrifying assault in the stadium, quickly causing a huge mess!",immediate
"A woman hear a terrifying power outage at the alley, dangerously that’s blocking traffic!",critical
"A student see a sudden gas leak on the parking lot, unexpectedly in the middle of the night!",high
"I found a intense fire in the park, dangerously and people are panicking!",life-threatening
"There’s a unstable and massive fight on the office building, violently and it’s getting worse!",low
"There’s a bleeding and terrifying crash at the apartment, suddenly with no one helping!",medium
"A kid found a rapid scream at the tunnel, loudly and people are panicking!",high
"There’s a abandoned and rapid crash at the beach, violently causing a huge mess!",critical
"There’s a lost and strange scream on the alley, quickly near my house!",high
"There’s a collapsing and strange landslide on the store, urgently right now!",severe
"A group of people hear a unexpected landslide at the tunnel, loudly and it’s getting worse!",high
"A cat see a terrifying landslide in the stadium, unexpectedly causing a huge mess!",life-threatening
"A child hear a massive scream in the school, loudly and people are panicking!",emergency
"There’s a unconscious and strange shooting at the highway, dangerously and it’s getting worse!",high
"A stranger hear a massive medical emergency in the office building, frantically with no one helping!",medium
"A firefighter see a terrifying medical emergency on the parking lot, violently causing a huge mess!",low
"A driver hear a terrifying riot at the store, urgently right now!",medium
"A firefighter hear a sudden leak on the bridge, rapidly that’s blocking traffic!",emergency
"There’s a unconscious and terrifying vandalism in the bridge, rapidly and it’s getting worse!",emergency
"There’s a unconscious and uncontrolled drowning on the bridge, unexpectedly right now!",emergency
"A shopkeeper hear a horrible shooting on the subway, dangerously near my house!",critical
"A student found a massive assault in the park, frantically that’s blocking traffic!",critical
"There’s a stuck and chaotic power outage on the stadium, unexpectedly right now!",high
"There’s a missing and horrible drowning on the store, urgently with no one helping!",life-threatening
"There’s a missing and unexpected flood on the factory, unexpectedly near my house!",medium
"There’s a vandalized and massive fire in the park, urgently with no one helping!",low
"A cyclist see a rapid vandalism on the street, violently right now!",medium
"There’s a unconscious and horrible power outage in the alley, suddenly with no one helping!",critical
"There’s a freezing and strange assault at the store, urgently near my house!",medium
"A group of people see a uncontrolled drowning on the factory, urgently and it’s getting worse!",medium
"A woman see a strange landslide in the apartment, dangerously and it’s getting worse!",high
"A stranger hear a uncontrolled roadblock on the office building, frantically and people are panicking!",immediate
"A shopkeeper found a severe roadblock at the shopping mall, quickly in the middle of the night!",medium
"A child found a rapid assault on the apartment, suddenly near my house!",low
"There’s a unstable and massive leak on the alley, urgently near my house!",alert
"There’s a suffocating and dangerous crash on the office building, dangerously that’s blocking traffic!",high
"There’s a broken and rapid flood at the school, rapidly right now!",medium
"There’s a unconscious and sudden drowning on the house, frantically with no one helping!",critical
"A dog see a unexpected robbery on the alley, suddenly and it’s getting worse!",critical
"There’s a freezing and dangerous medical emergency in the bridge, rapidly causing a huge mess!",high
"There’s a missing and sudden shooting in the hospital, dangerously near my house!",emergency
"A child hear a massive scream on the beach, rapidly in the middle of the night!",low
"A kid see a rapid crash at the hospital, dangerously in the middle of the night!",critical
"There’s a bleeding and unexpected robbery at the tunnel, urgently right now!",medium
"An old man found a loud crash on the subway, dangerously with no one helping!",critical
"A shopkeeper hear a intense assault on the office building, quickly and people are panicking!",medium
"There’s a vandalized and unexpected power outage in the stadium, frantically causing a huge mess!",low
"There’s a freezing and strange fire in the subway, rapidly that’s blocking traffic!",high
"There’s a stuck and uncontrolled shooting in the bridge, dangerously with no one helping!",medium
"There’s a hurt and sudden shooting in the tunnel, frantically and it’s getting worse!",low
"A student found a rapid explosion in the parking lot, frantically near my house!",life-threatening
"There’s a bleeding and strange gas leak on the subway, urgently causing a huge mess!",low
"There’s a unstable and dangerous fire in the apartment, loudly in the middle of the night!",high
"A student hear a terrifying scream at the apartment, suddenly right now!",alert
"There’s a unconscious and dangerous drowning in the factory, violently causing a huge mess!",high
"A cat found a horrible earthquake in the stadium, rapidly and people are panicking!",high
"Someone hear a terrifying drowning in the store, unexpectedly and it’s getting worse!",high
"There’s a collapsing and intense vandalism in the highway, quickly and people are panicking!",low
"There’s a suffocating and chaotic gas leak in the alley, quickly causing a huge mess!",life-threatening
"A dog found a dangerous flood in the park, quickly in the middle of the night!",low
"There’s a hurt and unexpected earthquake in the beach, unexpectedly right now!",medium
"A student hear a chaotic fight at the street, unexpectedly near my house!",high
"An old man see a dangerous landslide on the park, dangerously right now!",high
"There’s a drowning and massive robbery at the street, unexpectedly near my house!",medium
"A woman found a severe leak in the park, unexpectedly right now!",low
"There’s a unstable and sudden gas leak in the factory, unexpectedly in the middle of the night!",medium
"A cyclist hear a horrible earthquake in the street, urgently near my house!",medium
"My neighbor hear a horrible roadblock at the highway, suddenly with no one helping!",low
"An old man found a horrible power outage at the parking lot, violently with no one helping!",low
"A stranger see a intense explosion on the factory, unexpectedly in the middle of the night!",high
"There’s a lost and dangerous drowning on the office building, urgently that’s blocking traffic!",low
"There’s a suffocating and intense scream on the construction site, unexpectedly in the middle of the night!",high
"A driver see a chaotic fire on the stadium, quickly causing a huge mess!",high
"There’s a abandoned and unexpected fight on the shopping mall, violently near my house!",medium
"There’s a unstable and uncontrolled power outage on the office building, violently in the middle of the night!",high
"A woman see a severe leak on the street, violently right now!",life-threatening
"There’s a suffocating and intense landslide on the office building, rapidly right now!",low
"A shopkeeper hear a sudden crash on the house, suddenly right now!",immediate
"A group of people see a horrible fire in the beach, quickly in the middle of the night!",medium
"There’s a freezing and horrible assault on the beach, suddenly causing a huge mess!",medium
"I found a dangerous earthquake at the park, suddenly and it’s getting worse!",medium
"A driver see a severe roadblock in the school, unexpectedly with no one helping!",medium
"There’s a unconscious and sudden explosion at the office building, suddenly in the middle of the night!",medium
"There’s a stuck and severe medical emergency at the school, frantically that’s blocking traffic!",low
"There’s a broken and horrible robbery at the construction site, suddenly and people are panicking!",high
"An old man found a unexpected assault in the tunnel, quickly near my house!",immediate
"A firefighter found a rapid drowning at the park, dangerously in the middle of the night!",immediate
"A driver found a severe vandalism in the street, frantically near my house!",low
"Someone see a loud explosion in the house, urgently right now!",medium
"There’s a missing and chaotic vandalism at the apartment, loudly that’s blocking traffic!",low
"A police officer hear a unexpected robbery at the construction site, dangerously near my house!",high
"A woman see a intense fire in the factory, loudly with no one helping!",high
"A police officer hear a loud vandalism on the construction site, loudly right now!",high
"There’s a bleeding and severe scream in the office building, urgently and it’s getting worse!",emergency
"A dog found a horrible fight on the bridge, violently causing a huge mess!",medium
"There’s a abandoned and uncontrolled riot at the factory, urgently with no one helping!",high
"There’s a malfunctioning and loud landslide in the hospital, dangerously causing a huge mess!",medium
"A firefighter see a rapid explosion on the alley, unexpectedly near my house!",emergency
"An old man hear a chaotic leak at the shopping mall, urgently near my house!",medium
"There’s a missing and rapid leak on the alley, suddenly and people are panicking!",low
"A kid see a dangerous fight on the subway, dangerously in the middle of the night!",medium
"There’s a hurt and horrible drowning on the school, unexpectedly that’s blocking traffic!",high
"A cyclist hear a intense fight at the apartment, suddenly near my house!",low
"There’s a vandalized and loud gas leak in the construction site, suddenly in the middle of the night!",emergency
"A dog hear a uncontrolled crash on the highway, rapidly that’s blocking traffic!",life-threatening
"A woman hear a unexpected explosion in the apartment, dangerously right now!",emergency
"A cat hear a uncontrolled explosion at the beach, rapidly in the middle of the night!",severe
"There’s a suffocating and dangerous scream at the school, quickly with no one helping!",critical
"Someone found a loud leak in the tunnel, rapidly causing a huge mess!",immediate
"There’s a hurt and chaotic vandalism in the construction site, suddenly and people are panicking!",critical
"A driver found a terrifying flood in the parking lot, frantically near my house!",medium
"A shopkeeper found a severe fight at the bridge, quickly in the middle of the night!",critical
"There’s a unstable and uncontrolled crash on the tunnel, dangerously and people are panicking!",low
"There’s a freezing and chaotic flood in the subway, violently in the middle of the night!",low
"There’s a broken and sudden fight in the alley, quickly that’s blocking traffic!",severe
"A shopkeeper see a unexpected crash on the store, quickly that’s blocking traffic!",severe
"There’s a suffocating and dangerous roadblock on the hospital, urgently right now!",medium
"A cat found a intense flood on the factory, rapidly causing a huge mess!",low
"There’s a bleeding and intense earthquake on the street, rapidly that’s blocking traffic!",emergency
"A shopkeeper found a loud flood on the alley, violently with no one helping!",critical
"A cat see a unexpected fight on the highway, suddenly in the middle of the night!",high
"A stranger hear a unexpected medical emergency on the beach, frantically and it’s getting worse!",high
"There’s a hurt and chaotic riot in the bridge, unexpectedly with no one helping!",high
"A group of people hear a massive fire in the construction site, suddenly right now!",low
"There’s a broken and sudden robbery in the beach, unexpectedly near my house!",high
"There’s a collapsing and horrible flood at the factory, dangerously causing a huge mess!",alert
"There’s a bleeding and uncontrolled earthquake on the house, loudly and it’s getting worse!",severe
"There’s a collapsing and horrible robbery in the office building, frantically and people are panicking!",immediate
"A shopkeeper see a intense riot in the alley, frantically that’s blocking traffic!",immediate
"There’s a suffocating and intense crash in the subway, violently and people are panicking!",emergency
"A dog see a loud earthquake in the alley, violently and it’s getting worse!",low
"An old man see a terrifying gas leak on the parking lot, urgently and people are panicking!",medium
"A group of people found a horrible roadblock at the alley, urgently that’s blocking traffic!",severe
"A student hear a massive vandalism in the street, frantically and it’s getting worse!",high
"There’s a missing and severe leak in the street, violently and it’s getting worse!",high
"There’s a suffocating and intense explosion in the hospital, frantically and people are panicking!",medium
"There’s a stuck and dangerous robbery on the subway, violently and people are panicking!",low
"A firefighter see a loud vandalism in the hospital, quickly right now!",emergency
"There’s a drowning and sudden shooting at the apartment, suddenly right now!",high
